id,connectsWith,hasConnectionsWith
266039,[],[266522]
266040,[],[]
266043,[981510],[]
266044,[],[]
266046,[],[]
266047,[],[]
266048,[],[]
266049,[],[]
266050,[],[]
266051,[],[]
266052,[269561],[]
266053,[266054],[]
266054,[],[266053]
266055,[269540],[]
266057,[],[]
266058,[],[]
266059,[],[]
266061,[],[]
266063,[803793619],[]
266065,[],[]
266066,[256463],[744937022]
266067,[],[]
266068,[],[]
266069,[],[]
266070,[],[]
266071,[632227173],[]
266072,[],[]
266073,[],[]
266074,[],[]
266075,[],[256058]
266076,[],[266090]
266078,[],[]
266081,[],[]
266082,[],[]
266085,[],[]
266086,[],[]
266087,[],[]
266090,[803793619],[]
266091,[],[]
266092,[],[]
266093,[269538],[]
266094,[],[]
266095,[],[]
266096,[],[]
266097,[],[]
266099,[],[]
266517,[],[]
266518,[265876],[]
266519,[],[]
266520,[266038],[]
266521,[266036],[266036]
266522,[266039],[]
266523,[],[]
266524,[],[]
266525,[],[]
266526,[],[]
267272,[],[]
267273,[],[]
267274,[],[]
267275,[],[]
267276,[],[]
267277,[],[]
267278,[],[]
267279,[256010],[]
267280,[],[]
267281,[],[]
267282,[],[]
267283,[],[]
267284,[],[]
267285,[],[]
268027,[],[]
268028,[],[]
268029,[],[]
268782,[],[]
268783,[],[]
268784,[],[]
268785,[],[]
268786,[],[]
268787,[],[]
268788,[],[]
268789,[],[]
268790,[],[]
268791,[],[]
269537,[],[]
269538,[],[265855]
269539,[],[]
269540,[],[]
269541,[],[]
269542,[],[]
269543,[],[]
269544,[],[]
269545,[],[]
269546,[],[266036]
269547,[],[]
269548,[],[]
269549,[],[]
269550,[],[]
269551,[],[]
269552,[],[]
269553,[],[]
269554,[],[]
269555,[],[]
269556,[],[]
269557,[],[]
269558,[],[265920]
269559,[],[]
269560,[],[266025]
269561,[],[265880]
269562,[],[]
269563,[],[265834]
269564,[],[]
270292,[],[]
270293,[],[]
270294,[],[]
270295,[],[]
270296,[265984],[]
270297,[],[]
270298,[],[]
270301,[],[]
270303,[],[]
270304,[],[]
270305,[],[]
270306,[],[]
270310,[],[]
270311,[],[]
270313,[],[]
270314,[],[]
270316,[],[]
270317,[],[]
270318,[],[]
270320,[],[]
270321,[],[]
270323,[],[]
270324,[],[]
270325,[],[]
270326,[],[]
270327,[246322],[]
270329,[],[]
270330,[],[]
270331,[],[]
270332,[],[]
270334,[],[]
270335,[],[]
270336,[],[]
270337,[],[]
270339,[246322],[]
270340,[265951],[]
270341,[],[]
270342,[],[]
270344,[],[]
270345,[265849],[]
270346,[246322],[]
270347,[],[]
270348,[],[]
270349,[],[]
270350,[],[]
270352,[],[]
270355,[],[]
270356,[],[]
270357,[246322],[]
270358,[246322],[]
270360,[],[]
270361,[],[]
270362,[],[]
270363,[],[]
270365,[],[]
270367,[],[]
270368,[],[]
270369,[],[]
270370,[],[]
270371,[],[]
270373,[],[]
270374,[],[]
270376,[],[]
270377,[],[]
270380,[],[]
270381,[],[]
270382,[],[]
270384,[],[]
270386,[],[]
271047,[],[]
271048,[],[]
271049,[],[]
271050,[],[]
271051,[],[]
271052,[],[]
271053,[],[]
271054,[],[]
271055,[],[]
271056,[],[]
271057,[],[]
271058,[],[]
271059,[],[]
271060,[],[]
271061,[],[]
271062,[],[]
271063,[],[]
271064,[],[]
271065,[],[]
271066,[],[]
271067,[],[]
271068,[],[]
271069,[],[]
271070,[],[]
271071,[],[]
271073,[],[]
271074,[],[]
271075,[],[]
271076,[],[]
271077,[],[]
271078,[],[]
271079,[],[]
271080,[],[]
271081,[],[]
275577,[275614],[]
275578,[],[]
275579,[],[]
275580,[],[]
275581,[],[]
275582,[],[]
275583,[],[]
275584,[],[]
275585,[],[]
275586,[],[]
275587,[],[]
275588,[],[]
275590,[],[]
275591,[],[]
275592,[],[]
275593,[],[]
275594,[],[]
275596,[],[]
275599,[],[]
275600,[],[]
275601,[],[]
275602,[],[]
275603,[],[]
275604,[],[]
275605,[],[]
275606,[],[]
275607,[],[]
275608,[],[]
275613,[],[]
275614,[256198],[256045]
275615,[],[]
275617,[],[]
275618,[],[]
275619,[],[]
275620,[],[]
275621,[],[]
275623,[],[]
275624,[],[]
275626,[],[]
275627,[],[]
275628,[],[]
275629,[],[]
275631,[],[]
275632,[],[]
275634,[],[]
275635,[],[]
275637,[],[]
275639,[],[]
275640,[],[]
275641,[],[]
275646,[],[]
275647,[],[]
275650,[],[]
275651,[],[]
275652,[],[]
275653,[],[]
275654,[],[]
275655,[],[]
275656,[],[]
275657,[],[]
275658,[],[]
275659,[],[]
275661,[],[]
275662,[],[]
275663,[],[]
275664,[],[]
275665,[],[275730]
275666,[275667],[35858006]
275667,[845],[275666]
275669,[],[]
275670,[],[]
275671,[],[]
275672,[],[]
275673,[],[981533]
275674,[],[]
275675,[],[]
275677,[],[]
275678,[],[]
275679,[],[]
275680,[],[]
275681,[],[]
275682,[],[]
275683,[],[]
275685,[],[]
275686,[],[]
275687,[],[]
275688,[],[]
275689,[],[]
275691,[],[]
275692,[],[]
275693,[],[]
275694,[],[]
275696,[197483],[]
275697,[845],[]
275698,[],[]
275699,[],[]
275700,[],[]
275701,[],[]
275702,[],[]
275703,[],[275704]
275704,[256198],[]
275705,[],[]
275706,[],[]
275707,[],[]
275708,[],[]
275709,[],[]
275710,[],[]
275711,[],[]
275712,[],[]
275713,[],[]
275714,[],[]
275715,[],[]
275716,[],[]
275717,[],[]
275718,[],[]
275719,[],[]
275720,[],[]
275721,[],[]
275722,[],[]
275723,[],[]
275724,[],[]
275725,[],[]
275726,[],[]
275727,[],[]
275729,[],[]
275730,[275665],[]
275731,[],[]
275732,[],[]
275733,[],[]
275734,[],[]
275736,[],[]
275737,[],[]
275738,[],[277849]
275740,[275673],[]
275742,[],[]
275743,[],[]
275744,[],[]
276332,[],[]
277087,[],[]
277088,[],[]
277089,[],[]
277090,[],[]
277091,[],[]
277092,[],[]
277093,[],[]
277094,[],[]
277095,[],[]
277842,[],[]
277843,[],[]
277844,[],[]
277845,[],[]
277846,[],[]
277847,[],[]
277848,[],[]
277849,[275738],[]
277850,[],[]
277851,[],[]
277852,[],[]
278597,[],[]
278598,[],[]
278599,[],[]
278600,[],[]
278602,[],[]
278605,[],[]
278607,[],[]
278609,[],[]
278611,[],[]
278612,[],[]
278614,[],[]
278615,[],[]
278617,[],[]
278619,[],[]
278621,[],[]
278622,[],[]
278623,[],[]
278624,[],[]
278625,[],[]
278627,[],[]
278629,[],[]
278631,[],[]
278632,[],[]
278633,[],[]
278634,[],[]
285392,[],[]
285393,[],[]
285395,[],[]
285396,[],[]
285397,[],[]
285398,[],[]
285399,[],[]
285400,[],[]
285401,[],[]
285402,[],[]
285403,[],[]
285404,[],[]
285405,[],[]
285406,[],[]
285407,[],[]
285408,[],[]
285409,[],[]
285410,[],[]
285411,[],[]
285412,[],[]
285413,[],[]
285414,[],[]
285415,[],[]
285416,[],[]
285418,[],[]
285419,[],[]
285420,[],[]
285422,[],[]
285423,[],[]
285424,[],[]
285425,[],[]
285426,[],[]
285428,[],[]
285430,[],[]
285432,[],[]
285433,[],[]
285434,[],[]
285435,[],[]
285436,[],[]
285437,[],[]
285439,[],[]
285440,[],[]
285442,[],[]
285444,[],[]
285445,[],[]
285446,[],[]
285447,[],[]
285449,[],[]
285450,[],[]
285452,[],[]
285453,[],[]
285455,[],[]
285456,[],[]
285458,[],[]
285459,[],[]
285460,[],[]
285461,[],[]
285462,[],[]
285463,[],[]
285465,[],[]
285466,[],[]
285467,[],[]
285468,[],[]
285469,[],[]
285470,[],[]
285471,[],[]
285472,[],[]
285473,[],[]
285475,[],[]
285476,[],[]
285477,[],[]
285480,[],[]
285482,[],[295374]
285484,[],[]
285485,[],[]
285486,[],[]
285487,[],[]
285488,[],[]
285489,[],[]
285490,[],[]
285491,[1043],[]
285493,[],[]
285494,[],[]
285495,[],[]
285497,[],[]
285498,[],[]
285499,[],[]
285501,[],[]
285502,[],[]
285503,[],[]
285504,[285522],[]
285509,[],[]
285510,[],[]
285511,[],[]
285512,[],[]
285514,[],[]
285515,[],[]
285516,[],[]
285517,[],[]
285518,[],[]
285519,[],[]
285520,[],[]
285521,[],[]
285522,[],[285504]
285523,[],[]
285524,[],[]
285525,[],[]
285526,[],[]
285528,[],[]
285529,[],[]
285530,[],[]
285531,[],[]
285532,[],[]
285533,[],[]
285534,[],[]
285535,[],[]
285536,[],[]
285538,[],[]
285539,[],[]
285540,[],[]
285541,[],[]
286147,[],[]
286148,[],[]
286902,[],[]
288412,[],[]
289167,[],[]
289168,[],[]
289169,[],[]
289170,[],[]
289171,[],[]
289172,[],[]
289173,[],[]
289174,[],[]
289175,[],[]
289176,[],[]
289177,[],[]
289178,[],[]
289179,[],[]
289922,[],[]
289923,[],[]
289924,[],[]
289925,[],[]
289927,[],[]
289928,[],[]
289929,[],[]
289930,[],[]
289931,[],[]
289937,[],[]
289939,[],[]
289941,[],[]
289943,[],[]
289945,[],[]
289946,[],[]
289947,[],[]
289949,[],[]
289950,[],[]
289951,[],[]
289952,[],[]
289954,[],[]
29457,[],[]
29461,[],[]
29463,[],[]
29475,[],[]
29482,[],[]
29492,[],[894019]
29501,[],[]
29503,[],[]
29517,[],[30279]
295207,[],[]
295209,[],[]
295210,[],[]
295211,[],[]
295212,[],[]
295213,[],[]
295214,[],[]
295215,[],[]
295216,[],[]
295217,[],[]
295218,[],[]
295219,[],[]
295220,[],[]
295221,[],[]
295222,[],[]
295223,[],[]
295225,[],[]
295226,[],[]
295227,[],[]
295228,[],[]
295229,[],[]
295230,[],[]
295231,[],[]
295232,[],[]
295233,[],[]
295234,[],[]
295236,[],[]
295237,[],[]
295238,[],[]
295239,[],[]
295240,[],[]
295241,[],[]
295242,[],[]
295243,[],[]
295244,[],[]
295245,[],[]
295246,[],[]
295247,[],[]
295248,[],[]
295249,[],[]
29525,[],[]
295250,[],[]
295251,[],[]
295252,[],[]
295253,[],[]
295255,[],[]
295256,[],[]
295257,[],[]
295258,[],[]
295259,[],[]
295261,[],[]
295262,[],[]
295263,[],[]
295265,[],[]
295266,[],[]
295267,[],[]
295268,[],[]
295270,[],[]
295271,[],[]
295273,[],[]
295274,[],[]
295275,[],[]
295276,[],[]
295277,[],[]
295278,[],[]
295279,[1043],[677240335]
295280,[],[]
295281,[],[]
295282,[],[]
295283,[],[]
295284,[],[]
295286,[],[]
295287,[],[]
295288,[],[]
295289,[],[]
295290,[],[]
295291,[],[]
295292,[],[]
295293,[],[]
295294,[],[]
295295,[],[]
295296,[],[]
295297,[],[]
295299,[],[]
295301,[],[]
295302,[],[]
295303,[],[]
295304,[],[]
295306,[],[]
295307,[],[]
295308,[],[]
295309,[],[]
295310,[],[]
295311,[],[]
295313,[],[]
295314,[],[296720]
295315,[],[]
295316,[],[]
295318,[],[]
295319,[],[]
295320,[],[]
295321,[],[]
295323,[],[]
295326,[],[]
295327,[],[]
295329,[],[]
295331,[],[]
295332,[],[]
295333,[],[]
295334,[],[]
295337,[],[]
295338,[],[]
295339,[],[]
295340,[],[]
295341,[],[]
295342,[],[]
295343,[],[]
295344,[],[]
295345,[],[]
295346,[],[]
295348,[],[]
295349,[],[]
295350,[],[]
295351,[],[]
295352,[],[]
295353,[],[]
295354,[],[]
295355,[],[]
295356,[],[]
295357,[],[]
295358,[],[]
295359,[],[]
295360,[],[]
295361,[],[]
295362,[],[]
295363,[],[763381940]
295364,[],[]
295365,[],[]
295366,[],[]
295367,[],[]
295369,[],[]
295371,[],[]
295373,[],[]
295374,[285482],[]
29540,[],[]
29542,[],[]
29547,[],[]
29548,[],[]
29556,[],[]
29569,[],[]
29573,[84624811],[30221]
29586,[],[]
295962,[],[]
295963,[],[]
295964,[],[]
295965,[],[]
29605,[],[]
29610,[],[]
29617,[],[]
29620,[],[]
29621,[932433],[921321519]
29625,[],[]
29626,[],[]
29630,[29713],[]
29633,[],[]
29635,[],[]
29636,[],[]
29640,[],[]
29652,[],[]
29656,[],[]
296717,[],[]
296718,[],[]
296719,[],[]
296720,[295314],[]
296721,[],[]
29677,[],[814675]
29678,[],[]
29686,[],[]
29691,[],[]
29713,[39352],[912841]
29718,[],[]
29729,[],[]
29743,[],[]
29744,[],[]
29746,[],[]
297472,[],[]
297473,[],[]
297474,[],[]
297475,[],[]
297476,[],[]
297477,[],[]
297478,[],[]
297479,[],[]
29748,[],[]
29755,[],[]
29756,[],[]
29762,[],[]
29766,[],[]
29781,[],[]
29783,[],[]
29799,[],[]
29800,[],[]
29802,[],[]
29806,[],[]
29807,[],[]
29811,[],[]
29816,[],[894184]
298982,[],[]
298983,[],[]
298984,[],[]
298985,[],[]
298987,[],[]
298988,[],[]
298989,[],[]
298991,[],[]
298992,[],[]
298993,[],[]
298994,[],[]
298996,[],[]
298998,[],[]
298999,[],[]
299001,[],[]
299002,[],[]
299004,[],[]
299005,[],[]
299007,[],[]
299009,[],[]
299010,[],[]
299012,[],[]
299014,[],[]
299016,[],[]
299017,[],[]
299019,[],[]
299021,[],[]
299023,[],[]
30203,[],[]
30204,[],[]
30205,[29517],[]
30206,[29517],[]
30207,[29517],[]
30208,[29517],[]
30209,[29517],[]
30211,[],[]
30213,[],[]
30214,[],[]
30215,[],[]
30216,[29517],[]
30217,[],[]
30218,[],[]
30221,[29573],[]
30222,[],[]
30223,[29517],[]
30224,[],[]
30226,[],[]
30227,[],[]
30228,[],[]
30229,[],[]
30231,[],[]
30234,[],[]
30236,[],[]
30239,[],[]
30240,[],[]
30241,[],[]
30242,[29517],[]
30243,[29517],[]
30245,[],[]
30247,[],[]
30249,[],[]
30250,[],[]
30251,[],[]
30254,[],[]
30255,[],[]
30256,[29517],[]
30257,[29517],[]
30258,[],[]
30259,[],[]
30263,[],[]
30265,[],[]
30266,[],[]
30267,[],[]
30268,[],[]
30269,[29517],[]
30270,[29517],[]
30271,[],[]
30272,[],[]
30273,[29517],[]
30275,[],[]
30276,[],[]
30277,[],[]
30279,[29517],[]
30280,[],[]
305022,[],[]
305023,[],[]
305024,[],[]
305026,[183817907],[]
305027,[],[]
305028,[],[]
305029,[],[]
305030,[],[]
305031,[],[]
305032,[],[]
305033,[],[]
305034,[],[]
305037,[],[]
305039,[],[]
305040,[],[]
305041,[],[]
305043,[],[]
305044,[],[]
305045,[],[]
305046,[],[]
305047,[],[]
305048,[],[]
305049,[],[]
305050,[],[]
305053,[],[]
305054,[],[]
305055,[],[]
305056,[],[]
305057,[],[]
305058,[],[]
305059,[],[]
305060,[],[]
305061,[],[]
305062,[],[]
305063,[],[]
305064,[],[]
386745968,[],[]
475264756,[20487],[]
380688207,[],[]
319068505,[],[]
219854861,[609998416],[]
316390354,[609998416],[]
522588456,[410216617],[]
337124895,[410216617],[]
168208657,[],[]
168208659,[265799],[]
168208661,[256106],[]
392649590,[118745],[]
529701746,[],[]
503211161,[580119],[]
236701131,[422932],[]
236701133,[423567],[]
237861811,[],[]
163388144,[],[]
246984898,[],[]
998907993,[],[]
262148219,[],[]
609998416,[],[915626351]
406501931,[20487],[]
828393338,[632227173],[]
377811335,[226577],[]
490307091,[1356],[403193]
219618094,[],[]
260940008,[687934],[]
367530812,[472014],[]
864330772,[501347],[501495]
345438602,[],[]
345477552,[423025],[]
345477553,[423025],[]
81533409,[],[]
852167767,[],[]
119022475,[433032],[]
198420713,[452488],[]
198420714,[],[]
593460161,[590086],[]
593460162,[570491],[]
593460163,[599821],[]
483473194,[],[528863404]
6521693551211800,[],[]
645204823,[550693],[]
645204824,[],[]
471781651,[],[]
739961553,[472014],[]
946753455,[462086],[]
540456065,[],[]
540456066,[],[530036687]
58858515,[580062],[]
89350791,[773761100],[]
300583267,[423025],[]
267702570,[423025],[]
267702571,[695491849],[]
445192365,[423025],[]
865664297,[423025],[]
149683041,[472014],[]
774886524,[506349985],[]
378409584,[],[]
958275306,[570182],[]
236955527,[59844],[266192488]
369907904,[236405],[]
690508611,[89315],[]
690508612,[],[584272773]
430827518,[423025],[432336962]
109408874,[],[]
719249422,[],[]
565915542,[],[]
536959418,[],[]
536959419,[],[]
86419549,[79393],[]
10993281,[413360],[]
495763993,[209137],[]
495763994,[209137],[]
495763995,[209137],[]
495763996,[209137],[]
495763997,[491686],[]
495763998,[209142],[]
495763999,[209142],[]
164618008,[207245],[]
164618009,[209142],[]
164618010,[209142],[]
164618011,[514912],[]
164618012,[514912],[]
164618013,[209138],[]
164618014,[514912],[]
164618015,[514912],[]
164618016,[514912],[]
164618017,[209138],[]
164618018,[209138],[]
164618019,[209142],[]
164618020,[579907],[]
164618021,[209138],[]
164618022,[209138],[]
636076369,[356966898],[]
983459813,[],[]
824715367,[],[]
180354033,[],[]
714400874,[],[]
175815320,[423025],[]
572637979,[],[]
281701179,[356966898],[]
24337731,[],[]
24337732,[],[]
280341406,[570475],[]
426595172,[],[]
914118846,[],[]
914118847,[],[]
842949950,[],[]
426309852,[422909],[]
466778575,[736954],[776157]
541950317,[423025],[165546433]
58683083,[],[]
144291814,[589748],[]
380086882,[707498],[]
264120821,[167637],[]
140545,[],[]
140546,[],[]
140547,[],[]
140548,[],[]
140549,[],[]
140550,[],[]
140551,[],[]
140552,[],[]
140553,[],[]
140554,[],[]
140555,[],[]
140556,[],[]
140557,[],[]
140558,[],[]
140559,[],[]
140560,[],[]
140561,[],[]
140562,[],[]
140563,[],[]
140564,[],[]
140565,[],[]
140566,[],[]
140567,[],[]
140568,[],[]
140569,[],[]
140570,[],[]
140571,[],[]
140572,[],[]
140573,[],[]
140574,[],[]
140575,[],[]
140576,[],[]
140577,[],[]
141187,[],[]
141188,[],[]
141189,[],[]
141190,[],[]
141191,[],[]
141192,[],[]
141193,[],[]
141194,[],[]
141195,[],[]
141196,[],[]
141197,[],[]
141198,[],[]
141199,[],[]
141200,[],[]
141201,[],[138248]
141202,[],[]
141203,[],[]
141204,[],[]
141205,[],[]
141206,[],[]
141207,[],[138329]
141208,[],[138329]
141209,[],[]
141210,[],[]
141211,[],[]
141212,[],[]
141213,[],[]
141214,[],[]
141215,[],[]
141216,[],[]
141217,[],[]
141942,[],[]
141943,[],[]
141944,[],[]
141946,[],[]
141947,[],[]
141949,[],[]
141950,[],[]
141951,[],[]
141953,[138329],[]
141955,[],[]
141957,[],[]
141959,[],[]
141960,[138650],[]
141961,[],[]
141963,[],[]
141964,[],[]
141965,[],[]
142847211,[],[]
147982,[],[]
147983,[],[]
147984,[],[]
147985,[],[150248]
147987,[],[]
147988,[],[]
147989,[],[]
147990,[834876934],[149492]
147991,[],[]
147992,[148242],[]
147993,[148244],[]
147995,[],[]
147996,[],[]
147997,[],[]
147998,[167703],[601039651]
148001,[],[]
148002,[],[]
148003,[],[]
148004,[],[]
148007,[],[]
148008,[],[]
148009,[],[]
148010,[],[]
148011,[],[]
148012,[],[]
148013,[],[]
148014,[],[]
148016,[],[]
148017,[],[]
148018,[],[]
148019,[],[]
148020,[1043],[]
148021,[],[]
148022,[],[]
148023,[],[]
148024,[],[]
148025,[],[]
148027,[148069],[]
148028,[],[]
148030,[],[]
148032,[],[]
148033,[148142],[]
148034,[],[]
148035,[],[]
148036,[],[]
148037,[],[]
148038,[],[]
148039,[],[]
148040,[],[]
148041,[],[]
148042,[],[]
148043,[],[]
148046,[],[]
148047,[],[]
148048,[],[]
148049,[],[]
148050,[],[]
148051,[],[]
148052,[],[]
148053,[],[703668015]
148054,[],[28521919]
148056,[148242],[148737]
148057,[],[]
148058,[],[]
148060,[],[]
148061,[],[]
148062,[],[]
148064,[],[]
148065,[],[]
148067,[],[]
148068,[],[]
148069,[148168],[54430875]
148071,[],[]
148072,[],[]
148073,[],[]
148074,[],[]
148075,[],[]
148076,[],[149496]
148077,[],[]
148079,[],[]
148080,[],[]
148081,[834876934],[]
148084,[],[]
148085,[],[]
148086,[],[]
148089,[1043],[147998]
148090,[],[]
148091,[],[]
148092,[],[79684535]
148093,[],[342732941]
148094,[],[]
148095,[],[]
148096,[],[]
148099,[],[]
148101,[],[]
148102,[],[]
148104,[],[]
148105,[],[]
148106,[],[]
148107,[148110],[]
148108,[],[]
148109,[],[]
148110,[148211],[148202]
148111,[],[]
148112,[],[]
148113,[],[]
148114,[],[]
148115,[],[]
148116,[],[]
148117,[],[]
148118,[],[]
148119,[],[]
148120,[834876934],[]
148121,[],[]
148123,[],[]
148124,[],[]
148125,[],[]
148126,[],[]
148127,[],[]
148128,[],[]
148131,[],[]
148132,[],[]
148133,[],[]
148134,[148168],[]
148135,[],[]
148136,[],[]
148138,[],[]
148139,[],[]
148141,[],[]
148142,[148242],[148738]
148143,[],[]
148144,[],[]
148146,[],[]
148148,[],[]
148149,[],[]
148150,[],[]
148152,[],[]
148153,[],[]
148155,[],[]
148156,[],[]
148157,[],[]
148158,[],[]
148159,[],[]
148160,[],[]
148161,[],[]
148162,[],[]
148163,[],[]
148165,[],[]
148166,[],[]
148167,[],[150251]
148168,[148089],[148236]
148169,[],[]
148170,[],[]
148171,[],[]
148172,[],[]
148173,[],[]
148174,[],[]
148175,[],[]
148177,[],[]
148178,[],[]
148179,[],[]
148180,[],[]
148182,[],[]
148183,[],[]
148184,[],[]
148185,[],[]
148186,[],[]
148187,[],[]
148188,[],[]
148189,[],[]
148190,[],[]
148191,[],[]
148192,[],[]
148193,[],[]
148194,[],[]
148195,[],[]
148196,[],[]
148197,[],[]
148198,[],[]
148199,[],[]
148200,[],[]
148201,[],[]
148202,[148110],[150249]
148205,[],[]
148206,[],[]
148208,[],[]
148209,[148168],[]
148211,[148089],[148107]
148212,[],[]
148213,[],[]
148214,[],[]
148215,[],[]
148216,[],[]
148217,[148168],[438050385]
148218,[],[]
148219,[],[]
148222,[148242],[]
148223,[148168],[]
148224,[],[148738]
148226,[],[]
148227,[],[]
148228,[],[]
148229,[],[]
148230,[],[]
148231,[],[]
148232,[],[]
148234,[],[]
148235,[],[]
148236,[148168],[]
148237,[],[]
148238,[],[]
148239,[],[]
148240,[],[]
148241,[],[167716]
148242,[],[147992]
148244,[],[147993]
148737,[148056],[]
148738,[148224],[]
148739,[],[]
148740,[],[]
148741,[],[]
148742,[],[]
149492,[147990],[]
149493,[],[]
149494,[],[]
149495,[],[]
149496,[253855601],[148738]
149497,[],[]
149498,[],[]
149499,[507729266],[]
149500,[54430875],[]
150247,[148056],[]
150248,[147985],[]
150249,[148202],[]
150250,[147990],[]
150251,[148167],[]
150252,[148036],[]
150253,[],[]
150254,[148054],[]
151758,[],[]
151759,[],[]
151760,[],[]
151761,[],[]
151762,[],[]
151764,[],[]
151766,[],[]
151767,[],[]
151768,[],[]
151769,[],[]
151770,[],[]
151772,[],[]
151774,[],[]
151776,[],[]
151778,[],[]
151779,[],[]
151781,[],[]
151783,[],[]
151784,[],[]
151786,[],[]
152512,[],[]
152513,[],[]
152514,[],[]
152515,[],[]
152516,[],[]
152517,[],[]
152518,[],[]
152519,[],[]
152520,[],[]
152521,[],[]
152522,[],[]
152523,[],[]
152524,[],[]
152525,[],[]
157797,[],[]
157798,[],[]
157799,[],[]
157800,[834876934],[]
157802,[507729266],[157837]
157803,[507729266],[162337]
157804,[],[]
157805,[157912],[]
157806,[],[]
157810,[],[]
157811,[],[]
157812,[],[]
157814,[],[]
157815,[],[]
157816,[],[]
157817,[],[]
157819,[],[]
157821,[],[]
157822,[],[]
157823,[],[]
157824,[],[]
157825,[],[]
157826,[],[]
157827,[],[]
157828,[],[]
157830,[],[]
157831,[],[]
157832,[],[]
157833,[],[]
157834,[],[43994933]
157835,[],[]
157836,[],[520858710]
157837,[157879],[]
157838,[],[]
157839,[],[]
157840,[],[]
157842,[],[]
157843,[],[]
157846,[],[]
157849,[],[]
157850,[],[]
157852,[],[]
157854,[],[]
157855,[],[]
157857,[157929],[]
157858,[157878],[160818]
157859,[],[]
157860,[],[]
157861,[157942],[]
157862,[],[]
157863,[],[]
157864,[],[]
157865,[],[]
157867,[],[]
157868,[],[]
157870,[],[157803]
157871,[],[157802]
157873,[],[]
157874,[],[157945]
157876,[],[]
157878,[1043],[157935]
157879,[],[157837]
157880,[],[]
157882,[],[]
157884,[],[]
157885,[],[]
157886,[],[]
157887,[],[]
157888,[],[]
157889,[],[]
157891,[],[]
157893,[],[]
157894,[],[]
157896,[],[]
157897,[],[]
157898,[],[]
157899,[],[]
157901,[],[]
157902,[],[]
157903,[],[]
157904,[],[]
157905,[],[]
157906,[],[160817]
157907,[157929],[]
157908,[],[]
157910,[],[]
157912,[],[157805]
157914,[],[]
157915,[],[]
157917,[],[]
855536858,[],[]
861510570,[],[]
789450243,[],[]
706148439,[],[]
711765706,[423025],[]
97711900,[],[]
434022175,[],[]
434022176,[],[]
680190213,[344456],[]
434181559,[],[]
166031522,[],[]
722211788,[],[]
254082752,[403280],[]
751079112,[707498],[]
613488678,[],[]
559027219,[265943],[]
559027220,[],[]
133577441,[109307],[]
237312030,[],[]
90602,[],[]
906020,[],[]
906021,[],[]
906023,[],[]
906025,[],[]
906027,[],[]
906028,[],[]
90603,[],[]
912797,[],[]
912798,[912837],[]
912800,[],[]
912802,[],[]
912803,[912841],[]
912806,[],[]
912807,[],[]
912808,[],[]
912809,[],[]
912810,[29713],[]
912811,[],[]
912816,[],[417249577]
912818,[],[]
912819,[],[]
912820,[],[]
912821,[],[]
912823,[],[]
912826,[],[]
912829,[],[]
912830,[],[]
912834,[],[]
912835,[912879],[903015]
912837,[],[912798]
912841,[29713],[912851]
912842,[],[]
912843,[],[]
912845,[912849],[]
912849,[912964],[494566507]
912851,[912841],[]
912855,[202833934],[]
912862,[],[]
912863,[],[]
912864,[],[]
912865,[],[]
912868,[],[]
912870,[],[]
912871,[],[]
912872,[912905],[]
